document_id,company_ticker,company_name,source_type,fiscal_period,source_url,source_hash,chunk_count,modalities,chunk_types,normalized_metrics,section_or_page_count,corpus_id,corpus_version_hash
JPM:raw_xbrl_companyfacts:2024:FY,JPM,JPMorgan Chase,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/JPM-companyfacts-2024.json,eefb4a4895a84f8d733b3654e4dca1c99b5a8aa1538531c03a791c4ef6131400,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
META:raw_sec_filing:10-K:2024,META,Meta,sec_filing,FY2024,fixture://raw/sec/META-2024-10k.txt,d79bb4cc6312ee0b0faa8e01d1e7eee2bd7c67d1448244453890650bf3ad02fa,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
META:raw_transcript:2024:Q4,META,Meta,transcript,FY2024,fixture://raw/transcripts/META-fy2024-q4.txt,c8096cb99d7f7caf20d40e41e5ef05eb517b51e14e7f9dfb851f19e0b553975c,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
META:raw_xbrl_companyfacts:2024:FY,META,Meta,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/META-companyfacts-2024.json,f09a3829bfd34499fbba0f88fba1dd1e7219969cb7c842c82bc26edd9dd0cab2,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
MSFT:raw_sec_filing:10-K:2024,MSFT,Microsoft,sec_filing,FY2024,fixture://raw/sec/MSFT-2024-10k.txt,12e9fcf60dc51cc1c31ce21737fcf9fee04132070cd5adb915b63ab60471ae0b,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
MSFT:raw_transcript:2024:Q4,MSFT,Microsoft,transcript,FY2024,fixture://raw/transcripts/MSFT-fy2024-q4.txt,aa166c817047ae5eb9ac9da49344104d855e0ca3a39f7349ce2ac9024d23943c,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
MSFT:raw_xbrl_companyfacts:2024:FY,MSFT,Microsoft,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/MSFT-companyfacts-2024.json,997451e9c4dd643c001794b93ce0a76829d48d1d66396bebae5f1ebe92dfb074,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NFLX:raw_sec_filing:10-K:2024,NFLX,Netflix,sec_filing,FY2024,fixture://raw/sec/NFLX-2024-10k.txt,4e90b8892a05c15f722fb6eb9cb13be352a68a24f0d0fc28e115f1990e319e54,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NFLX:raw_transcript:2024:Q4,NFLX,Netflix,transcript,FY2024,fixture://raw/transcripts/NFLX-fy2024-q4.txt,d5db6875efa9b1382c3f602b7dbf446fb1102a1467bd08cfdfb958e0562ae1d4,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NFLX:raw_xbrl_companyfacts:2024:FY,NFLX,Netflix,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/NFLX-companyfacts-2024.json,e3df4f3dd9d52e131eed487fba570b79dd44823e0eb647a2e70a198d691a0a4f,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NVDA:raw_investor_deck:FY2024:data_center_fixture,NVDA,NVIDIA,investor_deck,FY2024,fixture://nvda_fy2024_data_center_chart.pdf,ecc2d7486dcdcc532ff31781c2e3f3685503d7323c95ff2eb2427ba46f4676c7,2,chart|text,deck_chart|deck_page,revenue,2,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NVDA:raw_sec_filing:10-K:2024,NVDA,NVIDIA,sec_filing,FY2024,fixture://raw/sec/NVDA-2024-10k.txt,777de751cc239420f733e2c424383f749fec7e53f66d01fe98384e6dd2bfd8d9,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NVDA:raw_transcript:2024:Q4,NVDA,NVIDIA,transcript,FY2024,fixture://raw/transcripts/NVDA-fy2024-q4.txt,bdee607b5c93ef4e3ceb448fe387c072986bf995a28194209039f84cef970a7f,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
NVDA:raw_xbrl_companyfacts:2024:FY,NVDA,NVIDIA,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/NVDA-companyfacts-2024.json,af63db62f6e828b9f308669e1812b8fc002324527bd4e1589fa7d5c2b52ef1b2,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
TSLA:raw_sec_filing:10-K:2024,TSLA,Tesla,sec_filing,FY2024,fixture://raw/sec/TSLA-2024-10k.txt,dbb90c8be7ca2ade1951d79c1176c5ec808d7318620a61d8240c674243186dad,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
TSLA:raw_transcript:2024:Q4,TSLA,Tesla,transcript,FY2024,fixture://raw/transcripts/TSLA-fy2024-q4.txt,07d7223504046091c25814e60802bfc1411e9ace865c4cb7b002b21874aa360d,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
TSLA:raw_xbrl_companyfacts:2024:FY,TSLA,Tesla,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/TSLA-companyfacts-2024.json,b210bb14984f036a761e250b32da011a08fd3e518745d5e3ffb983bb15831edd,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
WMT:raw_sec_filing:10-K:2024,WMT,Walmart,sec_filing,FY2024,fixture://raw/sec/WMT-2024-10k.txt,b03d1b6a8e680d64e23ed4eb7b88d586f38f391421d36c4736c192778aa2e306,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
WMT:raw_transcript:2024:Q4,WMT,Walmart,transcript,FY2024,fixture://raw/transcripts/WMT-fy2024-q4.txt,8b5a1bdd951b7cb324bf77b2ff0e11ed5fd241638622d242841735980deb132a,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
WMT:raw_xbrl_companyfacts:2024:FY,WMT,Walmart,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/WMT-companyfacts-2024.json,558b288282b5aeef01776e2b99e37ed4a6fc1fd8228210c1c1af9cc869601dcb,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
